t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.024913494809689;9995.17360256797;1.54150685195287E-05;0.000532976691321;-40.2868200512836;-120.429589401052;-6.11167387995996E-06;1.82696568004072E-05
0.025259515570934;9995.44256403197;1.59267736809735E-05;0.000532988355193;-38.4806811797614;-121.980817509853;-5.83767529306199E-06;1.85049843914741E-05
0.02560553633218;9995.69747479469;1.64360998589384E-05;0.000532999409566;-36.7056575188706;-123.531938949052;-5.56839700972357E-06;1.87402958003304E-05
0.025951557093426;9995.92137701638;1.69406895511331E-05;0.000533009119095;-34.9683774002912;-125.083360070958;-5.30484457472416E-06;1.89756526722675E-05
0.026297577854671;9996.10723601306;1.74395988580696E-05;0.00053301717878;-33.2672350905472;-126.635162839302;-5.04677439178783E-06;1.92110674415162E-05
0.026643598615917;9996.25657555446;1.79330838102546E-05;0.000533023654752;-31.5945120575657;-128.187105603996;-4.79301552831673E-06;1.94465034487786E-05
0.026989619377163;9996.37735582274;1.84222786809882E-05;0.000533028892235;-29.9382978590132;-129.738637691076;-4.54176112193702E-06;1.96818771545826E-05
0.027335640138408;9996.48203793422;1.89089067931719E-05;0.000533033431612;-28.2834101160064;-131.288919950942;-4.29070794423956E-06;1.99170612565328E-05
0.027681660899654;9996.58664341736;1.93951440728195E-05;0.000533037967638;-26.6110317982641;-132.836848599738;-4.03700137546728E-06;2.01518883061446E-05
0.0280276816609;9996.7110930863;1.98836776912036E-05;0.000533043364134;-24.8974345803253;-134.381086026555;-3.77704173247934E-06;2.03861553824221E-05
0.028373702422145;9996.88045287743;2.0377904410469E-05;0.000533050707999;-23.112654339961;-135.920106484565;-3.50628333649232E-06;2.06196310233879E-05
0.028719723183391;9997.12621265978;2.08821384474218E-05;0.000533061364626;-21.2201363573013;-137.452264729934;-3.21918068834957E-06;2.08520656388841E-05
0.029065743944637;9997.48657239707;2.14016757110608E-05;0.000533076990253;-19.1781302043424;-138.975891514235;-2.90940007891283E-06;2.10832059971593E-05
0.029411764705882;9998.00495176573;2.19425966787728E-05;0.000533099467212;-16.9430855723224;-140.489412770457;-2.57033474983808E-06;2.13128133058682E-05
0.029757785467128;9998.72647514153;2.25112693165564E-05;0.000533130751355;-14.4746659679259;-141.991481665253;-2.19586549161001E-06;2.15406832449335E-05
0.030103806228374;9999.69282585113;2.31136085138498E-05;0.000533172648737;-11.7414595775328;-143.481106798853;-1.78122700479377E-06;2.17666654149924E-05
0.030449826989619;10000.9364071079;2.37542291707249E-05;0.000533226562271;-8.72618126215236;-144.957757466568;-1.32379706374944E-06;2.19906793059921E-05
0.030795847750865;10002.4750347556;2.4435673002769E-05;0.000533293261577;-5.42919673735253;-146.421428746016;-8.23631149011093E-07;2.22127241711879E-05
0.031141868512111;10004.3083480009;2.51578837827031E-05;0.000533372727515;-1.86953554844072;-147.872654787746;-2.83616119726432E-07;2.24328810433825E-05
0.031487889273356;10006.4167831481;2.59180556841824E-05;0.000533464108073;1.91690677264993;-149.31246666963;2.90802526429507E-07;2.26513063412682E-05
0.031833910034602;10008.7634135873;2.6710899628224E-05;0.000533565798689;5.88168682294299;-150.742299637716;8.92275728889137E-07;2.28682177974872E-05
0.032179930795848;10011.2983606695;2.75292842869026E-05;0.000533675634057;9.96985796346562;-152.163861657187;1.51246785982756E-06;2.308387451728E-05
0.032525951557094;10013.9649697906;2.83651331376339E-05;0.000533791156322;14.1266411771806;-153.578979627603;2.14306872034667E-06;2.32985536487142E-05
