t [s];P [Pa];Q [m^3/s];A [m^2]
0.390728476821192;13531.7911529826;0.000174584983132;0.00301769250471
0.394039735099338;13530.8513784661;0.000172313774146;0.003017374790638
0.397350993377483;13529.874894196;0.000169917307628;0.003017044683643
0.400662251655629;13528.8625659679;0.000167397852115;0.003016702478425
0.403973509933775;13527.8151208395;0.000164757957699;0.003016348422796
0.407284768211921;13526.7333515368;0.000162000257241;0.003015982786779
0.410596026490066;13525.618189551;0.00015912739333;0.003015605887295
0.413907284768212;13524.470663712;0.000156142055064;0.003015218074149
0.417218543046358;13523.2918319186;0.000153047040595;0.003014819706939
0.420529801324503;13522.0827485055;0.000149845285392;0.003014411144021
0.423841059602649;13520.8444717447;0.000146539851823;0.003013992745038
0.427152317880795;13519.5780837535;0.000143133906652;0.00301356487764
0.43046357615894;13518.2847001685;0.000139630708238;0.003013127920742
0.433774834437086;13516.9654668483;0.000136033606084;0.003012682263403
0.437086092715232;13515.6215526016;0.000132346044116;0.003012228302358
0.440397350993378;13514.2541453907;0.000128571560501;0.003011766440727
0.443708609271523;13512.8644526626;0.000124713783382;0.003011297088121
0.447019867549669;13511.4537026615;0.000120776425551;0.003010820661074
0.450331125827815;13510.0231443752;0.00011676328032;0.003010337583024
0.45364238410596;13508.5740461381;0.000112678218586;0.003009848283825
0.456953642384106;13507.1076940509;0.000108525185965;0.003009353199211
0.460264900662252;13505.6253909351;0.000104308199307;0.003008852770438
0.463576158940397;13504.1284557011;0.000100031342709;0.003008347444061
0.466887417218543;13502.6182226992;9.56987634438924E-05;0.003007837671707
0.470198675496689;13501.0960408423;9.13146680088637E-05;0.00300732390978
0.473509933774834;13499.5632725867;8.68833182241583E-05;0.003006806619105
0.47682119205298;13498.0212929255;8.240902722014E-05;0.003006286264589
0.480132450331126;13496.4714884533;7.7896155270026E-05;0.003005763314894
0.483443708609272;13494.9152564555;7.33491055115351E-05;0.003005238242135
0.486754966887417;13493.3540039665;6.87723196161915E-05;0.00300471152155
0.490066225165563;13491.7891467829;6.4170273422823E-05;0.003004183631169
0.493377483443709;13490.2221084508;5.95474725199167E-05;0.003003655051471
0.496688741721854;13488.654319248;5.49084477628628E-05;0.003003126265035
0.5;13487.0872151578;5.02577507292932E-05;0.003002597756194
0.503311258278146;13485.5222368292;4.55999491260353E-05;0.003002070010684
0.506622516556291;13483.9608285139;4.09396221590219E-05;0.003001543515287
0.509933774834437;13482.4044369793;3.62813558712497E-05;0.003001018757461
0.513245033112583;13480.8545104028;3.16297384511164E-05;0.003000496224971
0.516556291390729;13479.3124972455;2.69893555151805E-05;0.002999976405508
0.519867549668874;13477.7798451057;2.23647853719248E-05;0.002999459786309
0.52317880794702;13476.2579995501;1.77605942740519E-05;0.002998946853759
0.526490066225166;13474.7484029204;1.31813316660797E-05;0.002998438092999
0.529801324503311;13473.2524931171;8.63152543337836E-06;0.002997933987515
0.533112582781457;13471.7717023587;4.11567715868692E-06;0.002997435018726
0.536423841059603;13470.3074559171;-3.6174260746074E-07;0.00299694166556
0.539735099337748;13468.8611708292;-4.79629905558406E-06;0.002996454404029
0.543046357615894;13467.4342545836;-9.18359779863307E-06;0.002995973706792
0.54635761589404;13466.0281037844;-1.3519289519214E-05;0.002995500042708
0.549668874172186;13464.6441027904;-1.77990745761345E-05;0.002995033876386
0.552980132450331;13463.2836223321;-2.201870756375E-05;0.002994575667728
0.556291390728477;13461.9480181069;-2.61740018176213E-05;0.002994125871461
0.559602649006622;13460.6386293532;-3.02608338600422E-05;0.002993684936669
0.562913907284768;13459.3567774054;-3.4275147779081E-05;0.00299325330631
0.566225165562914;13458.1037642302;-3.82129595350051E-05;0.002992831416734
0.56953642384106;13456.8808709479;-4.2070361188001E-05;0.002992419697198
0.572847682119205;13455.6893563382;-4.58435250413483E-05;0.002992018569368
0.576158940397351;13454.5304553352;-4.95287076942973E-05;0.002991628446823
0.579470198675497;13453.4053775119;-5.31222539991221E-05;0.002991249734557
0.582781456953642;13452.3153055588;-5.66206009170252E-05;0.002990882828476
0.586092715231788;13451.2613937576;-6.00202812677366E-05;0.002990528114896
0.589403973509934;13450.2447664548;-6.33179273679364E-05;0.002990185970039
0.59271523178808;13449.266516537;-6.65102745537968E-05;0.002989856759529
0.596026490066225;13448.327703912;-6.95941645832235E-05;0.002989540837897
0.599337748344371;13447.4293539994;-7.25665489135661E-05;0.002989238548077
0.602649006622517;13446.572456234;-7.54244918508838E-05;0.00298895022092
0.605960264900662;13445.757962586;-7.81651735670131E-05;0.002988676174702
0.609271523178808;13444.9867861018;-8.07858929810364E-05;0.002988416714646
0.612582781456954;13444.2597994693;-8.32840705019384E-05;0.002988172132449
0.615894039735099;13443.5778336124;-8.56572506295218E-05;0.002987942705818
0.619205298013245;13442.941676318;-8.79031044109299E-05;0.002987728698023
0.622516556291391;13442.3520708993;-9.00194317503397E-05;0.00298753035745
0.625827814569536;13441.8097149015;-9.20041635696749E-05;0.002987347917181
0.629139072847682;13441.3152588512;-9.38553638184449E-05;0.002987181594576
0.632450331125828;13440.8693050555;-9.55712313310669E-05;0.002987031590883
0.635761589403974;13440.4724064542;-9.71501015302613E-05;0.002986898090858
0.639072847682119;13440.125065529;-9.85904479754298E-05;0.002986781262401
0.642384105960265;13439.8277332731;-9.98908837550446E-05;0.002986681256224
0.645695364238411;13439.5808082256;-0.000101050162722;0.002986598205526
0.649006622516556;13439.3846355735;-0.000102067180575;0.002986532225696
0.652317880794702;13439.239506325;-0.000102940975774;0.002986483414045
0.655629139072848;13439.1456565576;-0.000103670730311;0.002986451849551
0.658940397350994;13439.1032667431;-0.000104255770315;0.002986437592638
0.662251655629139;13439.1124611532;-0.000104695566503;0.00298644068498
0.665562913907285;13439.1733073484;-0.000104989734474;0.002986461149325
0.66887417218543;13439.280810054;-0.00010514285198;0.002986497305782
0.672185430463576;13439.3627425596;-0.000105224283926;0.002986524862343
0.675496688741722;13439.3954601105;-0.000105256802212;0.002986535866353
0.678807947019868;13439.3794988351;-0.000105240938027;0.002986530498038
0.682119205298013;13439.3153763358;-0.000105177205814;0.002986508931529
0.685430463576159;13439.2031635401;-0.000105065677675;0.002986471190856
0.688741721854305;13439.0427337358;-0.000104906230888;0.002986417233708
0.69205298013245;13438.8340875993;-0.00010469887096;0.002986347060753
0.695364238410596;13438.5774568553;-0.000104443834627;0.002986260750497
0.698675496688742;13438.2731808444;-0.000104141467121;0.002986158417761
0.701986754966887;13437.921600309;-0.000103792116567;0.002986040177966
0.705298013245033;13437.5230418226;-0.000103396118474;0.00298590614188
0.708609271523179;13437.0778725895;-0.000102953850147;0.002985756434056
0.711920529801325;13436.5865304351;-0.000102465760419;0.002985591202904
0.71523178807947;13436.0495164453;-0.000101932362263;0.002985410618213
0.718543046357616;13435.4673643678;-0.000101354202313;0.002985214860856
0.721854304635762;13434.8406233578;-0.000100731843656;0.002985004116976
0.725165562913907;13434.1698550933;-0.000100065862902;0.002984778577018
0.728476821192053;13433.4556406422;-9.93568569307064E-05;0.002984538438026
0.731788079470199;13432.6985851428;-9.86054474666119E-05;0.002984283905216
0.735099337748344;13431.8993215197;-9.78122846848185E-05;0.002984015193214
0.73841059602649;13431.0585133651;-9.69780499843465E-05;0.002983732527021
0.741721854304636;13430.1768587908;-9.61034597165725E-05;0.002983436143298
0.745033112582782;13429.2550923672;-9.51892670092699E-05;0.002983126291011
0.748344370860927;13428.2939845521;-9.42362610943963E-05;0.002982803231229
0.751655629139073;13427.2943386488;-9.32452641841453E-05;0.002982467236095
0.754966887417219;13426.2569877193;-9.22171283032479E-05;0.002982118587778
0.758278145695364;13425.1827927084;-9.11527333223034E-05;0.002981757577832
0.76158940397351;13424.0726422792;-9.00529866875316E-05;0.002981384507136
0.764900662251656;13422.9274534109;-8.89188239035532E-05;0.002980999686083
0.768211920529801;13421.7481719675;-8.77512089850391E-05;0.002980603434763
0.771523178807947;13420.5357726629;-8.65511343085235E-05;0.002980196082941
0.774834437086093;13419.2912585371;-8.53196199790111E-05;0.002979777969872
0.778145695364239;13418.0156601886;-8.40577129552899E-05;0.002979349444036
0.781456953642384;13416.7100350745;-8.2766486243081E-05;0.002978910862889
0.78476821192053;13415.3754669623;-8.14470382388014E-05;0.002978462592674
0.788079470198676;13414.0130655169;-8.01004922075897E-05;0.002978005008269
0.791390728476821;13412.6239659057;-7.87279957804413E-05;0.002977538493049
0.794701986754967;13411.2093283498;-7.73307203993927E-05;0.002977063438722
0.798013245033113;13409.770337588;-7.59098606777497E-05;0.002976580245145
0.801324503311258;13408.30820228;-7.44666337028665E-05;0.002976089320111
0.804635761589404;13406.8241543805;-7.3002278312052E-05;0.002975591079129
0.80794701986755;13405.319448504;-7.15180543629705E-05;0.002975085945208
0.811258278145695;13403.7953612754;-7.00152419921469E-05;0.002974574348624
0.814569536423841;13402.2531906497;-6.84951408475479E-05;0.00297405672669
0.817880794701987;13400.6942551895;-6.69590692822659E-05;0.0029735335235
0.821192052980133;13399.1198932959;-6.54083635077684E-05;0.002973005189668
0.824503311258278;13397.5314623983;-6.38443767100088E-05;0.002972472182047
0.827814569536424;13395.9303381044;-6.22684781321344E-05;0.002971934963438
0.831125827814569;13394.3179133107;-6.06820521233468E-05;0.002971394002285
0.834437086092715;13392.6955972707;-5.90864971514122E-05;0.002970849772356
0.837748344370861;13391.0648146166;-5.74832247763026E-05;0.002970302752411
0.841059602649007;13389.4270043356;-5.58736585842613E-05;0.002969753425853
0.844370860927152;13387.7836186985;-5.42592330827253E-05;0.002969202280364
0.847682119205298;13386.1361221425;-5.26413925567481E-05;0.002968649807528
0.850993377483444;13384.4859901081;-5.10215898871765E-05;0.002968096502435
0.854304635761589;13382.834707829;-4.94012853306667E-05;0.002967542863276
0.857615894039735;13381.1837690757;-4.77819452618456E-05;0.002966989390917
0.860927152317881;13379.5346748532;-4.61650408783826E-05;0.002966436588464
0.864238410596026;13377.888932054;-4.4552046870137E-05;0.002965884960807
0.867549668874172;13376.2480520668;-4.29444400537344E-05;0.002965335014157
0.870860927152318;13374.6135493435;-4.13436979740209E-05;0.002964787255564
0.874172185430464;13372.9869399247;-3.97512974740435E-05;0.002964242192425
0.877483443708609;13371.3697399264;-3.8168713235453E-05;0.002963700331977
0.880794701986755;13369.7634639897;-3.65974162914434E-05;0.002963162180785
0.884105960264901;13368.1696236963;-3.50388725145595E-05;0.002962628244208
0.887417218543046;13366.5897259512;-3.34945410819367E-05;0.002962099025866
0.890728476821192;13365.0252713372;-3.19658729206447E-05;0.00296157502709
0.894039735099338;13363.4777524427;-3.04543091360388E-05;0.00296105674637
0.897350993377483;13361.9486521669;-2.89612794261319E-05;0.002960544678791
0.900662251655629;13360.4394420054;-2.74882004851196E-05;0.002960039315467
0.903973509933775;13358.9515803202;-2.60364743994175E-05;0.002959541142965
0.90728476821192;13357.4865105975;-2.46074870395902E-05;0.002959050642737
0.910596026490066;13356.0456596973;-2.32026064516553E-05;0.002958568290534
0.913907284768212;13354.630436099;-2.18231812513086E-05;0.002958094555831
0.917218543046358;13353.2422281465;-2.04705390246533E-05;0.002957629901249
0.920529801324503;13351.8824022981;-1.9145984739072E-05;0.00295717478198
0.923841059602649;13350.5523013837;-1.78507991678145E-05;0.00295672964521
0.927152317880795;13349.2532428751;-1.65862373319267E-05;0.002956294929554
0.930463576158941;13347.9865171727;-1.53535269630311E-05;0.002955871064493
0.933774834437086;13346.7533859128;-1.41538669904386E-05;0.002955458469817
0.937086092715232;13345.5550802998;-1.29884260560017E-05;0.002955057555081
0.940397350993378;13344.3927994676;-1.18583410599577E-05;0.002954668719064
0.943708609271523;13343.267708873;-1.07647157409256E-05;0.002954292349249
0.947019867549669;13342.1809387263;-9.70861929306154E-06;0.002953928821305
0.950331125827814;13341.1335824613;-8.69108502322929E-06;0.002953578498592
0.95364238410596;13340.1266952494;-7.71310905086123E-06;0.002953241731668
0.956953642384106;13339.1612925603;-6.77564905301052E-06;0.00295291885783
0.960264900662252;13338.2383487726;-5.87962305690867E-06;0.00295261020065
0.963576158940397;13337.3587958374;-5.02590828225156E-06;0.002952316069549
0.966887417218543;13336.5235219971;-4.21534003546688E-06;0.002952036759373
0.970198675496689;13335.7333705644;-3.44871065802128E-06;0.00295177255
0.973509933774835;13334.9891387605;-2.72676853017592E-06;0.002951523705961
0.97682119205298;13334.2915766156;-2.05021713020259E-06;0.002951290476081
0.980132450331126;13333.6413859304;-1.4197141476579E-06;0.002951073093146
0.983443708609272;13333.0392192971;-8.35870649804253E-07;0.002950871773578
0.986754966887417;13332.4856791842;-2.9925030327635E-07;0.002950686717147
0.990066225165563;13331.9813170902;1.89631343441228E-07;0.002950518106688
0.993377483443708;13331.5266327637;6.30307520658397E-07;0.002950366107853
0.996688741721854;13331.1220732338;1.0223610887146E-06;0.002950230868795
